 Timestamp, SHT Temp C°, SHT Temp F°, SHT Hume %, DHT Temp C°, DHT Temp F°, DHT Hume %, I. Calor C°, I. Calor F°, MAX1 Temp C°, MAX1 Temp F°, MAX2 Temp C°, MAX2 Temp F°
Wed May 18 06:11:48 2022,-42.56,-44.61,-13.84,nan,nan,nan,nan,nan,0.00,32.00,0.00,32.00
Wed May 18 06:12:03 2022,-42.56,-44.61,-13.84,nan,nan,nan,nan,nan,0.00,32.00,0.00,32.00
Wed May 18 06:12:18 2022,-42.56,-44.61,-13.84,nan,nan,nan,nan,nan,0.00,32.00,0.00,32.00
Wed May 18 06:12:32 2022,-42.56,-44.61,-13.84,nan,nan,nan,nan,nan,0.00,32.00,0.00,32.00
Wed May 18 06:12:47 2022,-42.56,-44.61,-13.84,nan,nan,nan,nan,nan,0.00,32.00,0.00,32.00
Wed May 18 06:13:02 2022,-42.56,-44.61,-13.84,nan,nan,nan,nan,nan,0.00,32.00,0.00,32.00
Wed May 18 06:13:16 2022,-42.56,-44.61,-13.84,nan,nan,nan,nan,nan,0.00,32.00,0.00,32.00
Wed May 18 06:13:31 2022,-42.56,-44.61,-13.84,nan,nan,nan,nan,nan,0.00,32.00,0.00,32.00
